id;nom;nom_majus;cp;insee;dept;lat;long;distance
3686;Lafage;LAFAGE;11420;11184;91;43.175;1.866667;-1
3687;Lagrasse;LAGRASSE;11220;11185;91;43.1;2.616667;1.11
3688;Lairière;LAIRIERE;11330;11186;91;43.016667;2.483333;1.49
3689;Lanet;LANET;11330;11187;91;42.966667;2.5;1.04
3690;Laprade;LAPRADE;11390;11189;91;43.433333;2.266667;2.17
3691;Laroque-de-Fa;LAROQUE DE FA;11330;11191;91;42.95;2.566667;1.15
3692;Lasbordes;LASBORDES;11400;11192;91;43.3;2.033333;1.25
3693;Lasserre-de-Prouille;LASSERRE DE PROUILLE;11270;11193;91;43.183333;2.066667;1.3
3694;Lastours;LASTOURS;11600;11194;91;43.333333;2.383333;1.48
3695;Laurabuc;LAURABUC;11400;11195;91;43.25;1.983333;1.27
3696;Laurac;LAURAC;11270;11196;91;43.233333;1.983333;1.27
3697;Lauraguel;LAURAGUEL;11300;11197;91;43.1;2.166667;0.77
3698;Laure-Minervois;LAURE MINERVOIS;11800;11198;91;43.266667;2.516667;1.36
3699;Lavalette;LAVALETTE;11290;11199;91;43.183333;2.283333;1.12
3700;Lespinassière;LESPINASSIERE;11160;11200;91;43.4;2.55;1.94
3701;Leuc;LEUC;11250;11201;91;43.15;2.333333;0.92
3702;Leucate;LEUCATE;11370;11202;91;42.916667;3.033333;2.67
3703;Lézignan-Corbières;LEZIGNAN CORBIERES;11200;11203;91;43.2;2.766667;1.67
3704;Lignairolles;LIGNAIROLLES;11240;11204;91;43.1;1.983333;1.34
3705;Limousis;LIMOUSIS;11600;11205;91;43.333333;2.416667;1.48
3706;Limoux;LIMOUX;11300;11206;91;43.066667;2.233333;1.01
3707;Loupia;LOUPIA;11300;11207;91;43.066667;2.1;1.16
3708;La Louvière-Lauragais;LA LOUVIERE LAURAGAIS;11410;11208;91;43.266667;1.75;2.14
3709;Luc-sur-Aude;LUC SUR AUDE;11190;11209;91;42.966667;2.266667;1.04
3710;Luc-sur-Orbieu;LUC SUR ORBIEU;11200;11210;91;43.183333;2.783333;1.73
3711;Magrie;MAGRIE;11300;11211;91;43.033333;2.2;0.58
3712;Mailhac;MAILHAC;11120;11212;91;43.3;2.833333;1.92
